#Tag1,Tag2,Startframe,Stopframe,Starttime,Stoptime,Box,Xcoor1,Ycoor1,Angle1,Xcoor2,Ycorr2,Angle2,Direction,Detections
25,215,600050,600054,1390257057.18,1390257059.18,62,1364,3357,9733,1177,3421,-543,-5,5
25,592,600088,600092,1390257076.18,1390257078.18,62,1351,3349,11273,1246,3541,5497,-5,5
25,215,600088,600088,1390257076.18,1390257076.18,62,1352,3346,11394,1551,3352,-14066,-1,1
215,592,600094,600094,1390257079.18,1390257079.18,62,1355,3612,15733,1270,3429,6917,1,1
25,592,600118,600118,1390257091.18,1390257091.18,62,955,3728,12094,1177,3745,-9982,-1,1
44,215,600122,600123,1390257093.18,1390257093.68,62,1390,2368,-10178,1162,2370,2232,-2,2
25,44,600202,600210,1390257133.17,1390257137.17,62,1122,2384,-2120,1306,2477,-10178,8,9
25,44,600314,600321,1390257189.17,1390257192.67,62,1169,2305,-1527,1309,2478,-10328,8,8
25,592,600315,600321,1390257189.67,1390257192.67,62,1171,2308,-1589,1172,2135,-8822,-7,7
25,44,600327,600328,1390257195.67,1390257196.17,62,1188,2301,-605,1310,2480,-10478,2,2
44,592,600330,600332,1390257197.17,1390257198.17,62,1308,2479,-10444,1418,2284,-15548,-3,3
25,592,600347,600352,1390257205.67,1390257208.17,62,1382,2334,16371,1200,2339,-12828,5,5
25,44,600348,600348,1390257206.17,1390257206.17,62,1467,2388,15694,1305,2476,-9878,1,1
44,592,600356,600358,1390257210.17,1390257211.17,62,1306,2476,-9928,1221,2349,-5231,-2,2
25,44,600359,600361,1390257211.67,1390257212.67,62,1150,2361,-541,1307,2477,-9978,3,3
25,592,600364,600365,1390257214.17,1390257214.67,62,1378,2230,-2255,1382,2438,-15632,2,2
44,592,600369,600370,1390257216.67,1390257217.17,62,1305,2476,-9878,1371,2362,-16431,-2,2
25,592,600373,600374,1390257218.67,1390257219.17,62,1171,2042,-14304,1330,2152,13816,-2,2
215,592,600710,600710,1390257387.18,1390257387.18,62,1739,1973,-12666,1793,2200,-2482,1,1
44,592,600725,600730,1390257394.68,1390257397.18,62,1085,1530,-4095,1033,1652,10673,-3,3
25,44,600730,600730,1390257397.18,1390257397.18,62,1364,1800,13894,1165,1532,-8978,-1,1
44,592,601223,601236,1390257643.66,1390257650.15,62,1308,2174,10909,1389,1992,-7360,-1,9
25,592,601226,601231,1390257645.16,1390257647.65,62,1529,1936,-13388,1382,1983,-7998,6,6
25,44,601235,601243,1390257649.65,1390257653.65,62,1266,2139,-13463,1295,2159,8993,3,5
25,592,601236,601238,1390257650.15,1390257651.15,62,1367,2178,16044,1418,2122,-8782,-2,2
25,592,601244,601249,1390257654.15,1390257656.65,62,1162,2149,-6003,1231,2276,15496,2,5
25,215,601253,601253,1390257658.65,1390257658.65,62,1161,2192,-10305,969,2223,5133,-1,1
